,id,test_data,predicted_mood,orders,rmse,mae,mse
0,AS14.01,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[7.399999505080585, 7.599999387096876, 7.6000002278948235, 7.2000001653469425, 7.599999963744274, 7.499999753372101, 7.6000007701647725, 7.0000004251129475, 7.800000093524287, 8.00000002501184, 7.600000002233171, 7.999999760184688, 8.000000184177045]","[0, 1, 0]",3.5482342979006055e-07,2.7107594657849177e-07,1.2589966632798203e-13
1,AS14.17,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[7.250000000000003, 7.200000000000003, 7.200000000000002, 8.000000000000004, 7.200000000000003, 6.750000000000002, 7.000000000000001, 7.000000000000002, 8.000000000000004, 7.000000000000002, 7.250000000000001, 7.008425917327996, 7.500000000000003]","[0, 0, 0]",2.2976727147640908e-15,2.1179639239002986e-15,5.279299904171387e-30
2,AS14.08,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[5.599999999999998, 6.6666666666666625, 6.3333333333333295, 5.999999999999998, 5.9999999999999964, 5.799999999999997, 5.749999999999998, 6.666666666666663, 6.9999999999999964, 7.199999999999997, 7.399999999999998, 6.799999999999995, 6.666666666666663]","[0, 0, 0]",3.2680212705137985e-15,3.142785177400443e-15,1.0679963024530621e-29
3,AS14.13,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[7.66666666666667, 7.750000000000002, 8.800000000000002, 8.000000000000004, 8.166666666666671, 8.500000000000002, 7.833333333333336, 8.333333333333336, 8.000000000000002, 7.250000000000003, 8.000000000000002]","[0, 0, 0]",2.7178312416297235e-15,2.503048273700353e-15,7.386606657978565e-30
4,AS14.16,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[7.2, 6.75, 7.2, 7.999999999999999, 7.0, 7.0, 7.0, 7.999999999999999, 6.98875300128701, 7.0, 7.333333333333333]","[0, 1, 0]",3.7872055066332145e-16,1.6148698540002277e-16,1.4342925549472942e-31
5,AS14.05,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[7.199999999999766, 7.799999999999767, 7.399999999999766, 6.9999999999997655, 6.799999999999764, 6.9999999999997655, 6.7999999999997645, 6.9999999999997655, 6.749999999999765, 6.999999999999766, 6.333333333333098]","[0, 0, 0]",2.3464236802572083e-13,2.346405897862331e-13,5.505704087271783e-26
6,AS14.15,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[7.000000000000001, 7.000000000000001, 7.000000000000001, 5.999999999999998, 6.6, 7.000000000000002, 6.8, 7.000000000000001, 7.000000000000002, 6.9707472815206835, 7.000000000000002, 7.000000000000002]","[0, 0, 0]",1.2819751242557094e-15,1.1102230246251565e-15,1.6434602192104414e-30
7,AS14.12,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[7.000000005557062, 5.999991742188111, 6.600000393271313, 6.00000025645145, 6.250000230787201, 6.1999993875681465, 5.499997348301992, 5.600000301722486, 4.800000472809853, 6.000000129901552]","[0, 1, 0]",2.760492992483085e-06,1.3312442669111134e-06,7.620321561548219e-12
8,AS14.02,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[6.500000000000143, 6.500000000000144, 5.666666666666811, 5.000000000000146, 5.500000000000145, 5.666666666666812, 5.500000000000145, 7.000000000000143, 9.000000000000142]","[0, 0, 0]",1.439875135383627e-13,1.4398359048249808e-13,2.0732404054960177e-26
9,AS14.07,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[5.399994510641962, 5.999992902520691, 6.749990071493176, 4.999996866404194, 4.999996866165834, 4.999996621969573, 6.199992314800171, 5.6666605935245284, 7.9999873526841965, 5.499995029124697]","[0, 1, 0]",7.005308636731153e-06,6.353733764541403e-06,4.907434909586008e-11
10,AS14.20,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[6.999999999999974, 6.799999999999974, 6.799999999999974, 7.249999999999973, 6.999999999999974, 6.999999999999974, 7.199999999999975, 6.749999999999974, 7.333333333333306, 6.999999999999975]","[0, 0, 0]",2.5763298811545063e-14,2.5757174171303632e-14,6.637475656529593e-28
11,AS14.30,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[7.799999999999985, 7.7999999999999865, 7.999999999999988, 7.999999999999988, 7.7999999999999865, 8.199999999999987, 7.999999999999988, 7.7999999999999865, 7.7999999999999865, 7.999999999999988]","[0, 0, 0]",1.3080670102958696e-14,1.305622276959184e-14,1.7110393034243747e-28
12,AS14.14,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[7.999999999999986, 7.6666666666666545, 6.950407486969823, 6.950740926224755, 6.999999999999988, 5.9999999999999885, 6.666666666666655, 6.799999999999988, 6.799999999999988, 6.9999999999999885]","[0, 0, 0]",1.2194272452022742e-14,1.2168044349891715e-14,1.4870028063416073e-28
13,AS14.03,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[7.000000000000011, 7.200000000000012, 7.0000000000000115, 7.200000000000008, 7.600000000000013, 7.75000000000001, 7.400000000000009, 7.2500000000000115, 6.819699299036523, 7.666666666666674]","[0, 0, 0]",1.0456391416910149e-14,1.0302869668521452e-14,1.0933612146363223e-28
14,AS14.09,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[7.999999999999996, 6.249999999999996, 6.599999999999995, 6.749999999999996, 6.999999999999996, 7.499999999999995, 7.599999999999994, 7.749999999999995, 6.599999999999995, 5.9999999999999964]","[0, 0, 0]",4.6491707650994845e-15,4.618527782440651e-15,2.1614788803055722e-29
15,AS14.19,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[7.749999999999873, 6.333333333333205, 6.399999999999873, 7.199999999999873, 6.999999999999872, 6.799999999999874, 7.799999999999874, 7.399999999999874, 6.599999999999872, 6.999999999999872]","[0, 0, 0]",1.2710047315170564e-13,1.2709833185908792e-13,1.6154530275387445e-26
16,AS14.23,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[6.999999999999985, 7.399999999999984, 7.799999999999984, 7.499999999999985, 6.999999999999985, 7.5999999999999845, 7.399999999999985, 8.999999999999986]","[0, 0, 0]",1.5219371974412072e-14,1.5210055437364645e-14,2.316292832955196e-28
17,AS14.26,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[7.400000000000129, 7.20000000000013, 7.400000000000131, 7.600000000000131, 7.00000000000013, 6.600000000000129, 6.200000000000129, 7.600000000000131, 8.000000000000131, 7.200000000000131, 5.800000000000129, 5.400000000000127, 7.400000000000131, 6.40000000000013]","[0, 0, 0]",1.2987009118375887e-13,1.298643732232969e-13,1.6866240584077843e-26
18,AS14.06,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[7.250000000000002, 6.799999999999999, 8.000000000000002, 7.200000000000001, 6.250000000000001, 7.600000000000001, 6.999999999999999, 6.852709785274774, 6.749999999999998, 6.999999999999998]","[0, 0, 0]",1.4043333874306805e-15,1.3322676295501878e-15,1.9721522630525295e-30
19,AS14.28,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[6.400000000000056, 6.800000000000057, 7.400000000000057, 6.800000000000057, 7.000000000000056, 7.133799077182463, 6.333333333333388, 6.500000000000056]","[0, 0, 0]",5.6180356725365036e-14,5.617728504603292e-14,3.1562324817892682e-27
20,AS14.32,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[8.666666666666952, 7.000000000000286, 7.191817507540852, 6.000000000000286, 6.000000000000285, 7.750000000000286, 7.250000000000284, 7.200000000000322, 7.200000000000284]","[0, 0, 0]",2.896704044393675e-13,2.8944747833116306e-13,8.390894320806674e-26
21,AS14.31,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[6.750000000000009, 7.00000000000001, 7.00000000000001, 7.333333333333343, 7.00000000000001, 7.00000000000001, 7.00000000000001, 7.00000000000001, 7.00000000000001]","[0, 0, 0]",9.675303307195425e-15,9.671276125623586e-15,9.361149408622674e-29
22,AS14.29,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[7.800000000000003, 7.800000000000003, 7.400000000000005, 7.0000000000000036, 7.0000000000000036, 7.600000000000002, 8.200000000000003, 7.600000000000007, 6.000000000000006]","[0, 0, 0]",4.460585729913476e-15,4.243519116345043e-15,1.9896825053907742e-29
23,AS14.27,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[7.800000000000009, 7.000000000000011, 6.400000000000012, 6.600000000000011, 7.000000000000009, 7.800000000000009, 6.80000000000001, 7.500000000000008, 7.000000000000009]","[0, 0, 0]",9.747508064797193e-15,9.671276125623586e-15,9.501391347328631e-29
24,AS14.25,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[6.49999999999999, 6.3999999999999915, 7.199999999999993, 6.666666666666657, 7.083116310432742, 6.79999999999999, 6.999999999999992]","[0, 0, 0]",8.932393063583452e-15,8.881784197001252e-15,7.978764584235376e-29
25,AS14.24,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[6.599999999999986, 6.999999999999987, 7.399999999999986, 6.999999999999986, 6.83333333333332, 6.749999999999987, 7.7999999999999865, 6.999999999999987, 6.999999999999986, 7.499999999999987, 7.999999999999987, 6.499999999999985]","[0, 0, 0]",1.3704547925829923e-14,1.3692750637043597e-14,1.8781463385136923e-28
26,AS14.33,"['id', 'circumplex.valence', 'appCat.office', 'activity', 'circumplex.arousal', 'mood']","[5.749999315971753, 5.833332688027714, 6.399999252507966, 6.2499992931852, 5.399999421284346, 6.199999297685893, 8.19999922989857, 6.99999922599806, 6.799999120208838, 6.999999263366149]","[0, 0, 0]",7.266085283188086e-07,7.22519884366335e-07,5.279599534256248e-13
